id,lat,lon
237,32.36276224,-90.99016603
238,32.32786931,-90.32036836
239,32.2886158,-89.65124109
240,32.24500986,-88.98286187
241,32.19706054,-88.31530786
242,32.14477779,-87.64865559
243,32.08817246,-86.982981
244,32.02725624,-86.31835934
245,31.96204174,-85.65486514
246,31.89254241,-84.99257213
247,31.81877258,-84.33155326
248,31.74074741,-83.67188057
249,31.65848292,-83.01362523
250,31.57199598,-82.35685743
251,31.48130428,-81.70164638
252,31.83857512,-111.7752755
253,31.93884622,-111.11877
254,32.03491527,-110.4605288
255,32.12676263,-109.8006203
256,32.21436945,-109.139114
257,32.29771776,-108.4760806
258,32.37679041,-107.8115916
259,32.45157108,-107.1457197
260,32.52204434,-106.4785384
261,32.5881956,-105.8101222
262,32.65001116,-105.1405464
263,32.70747817,-104.4698872
264,32.76058471,-103.7982213
265,32.80931971,-103.1256265
266,32.85367302,-102.4521809
267,32.89363539,-101.7779634
268,32.92919847,-101.1030535
269,32.96035483,-100.427531
270,32.98709796,-99.75147626
271,33.00942225,-99.07497001
272,33.02732303,-98.39809328
273,33.04079656,-97.7209274
274,33.04983999,-97.04355389
275,33.05445145,-96.36605443
276,33.05462996,-95.68851077
277,33.05037549,-95.01100472
278,33.04168892,-94.33361804
279,33.02857208,-93.65643242
280,33.01102772,-92.97952939
281,32.98905951,-92.30299029
282,32.96267206,-91.6268962
283,32.93187089,-90.95132784
284,32.89666243,-90.27636561
285,32.85705406,-89.60208944
286,32.81305405,-88.92857878
287,32.76467156,-88.25591252
288,32.71191669,-87.58416897
289,32.65480041,-86.91342579
290,32.5933346,-86.2437599
291,32.52753202,-85.57524751
292,32.4574063,-84.907964
293,32.38297196,-84.24198391
294,32.30424438,-83.57738086
295,32.22123978,-82.91422754
296,32.13397526,-82.25259567
297,32.04246873,-81.59255591
298,31.94673896,-80.93417787
299,32.1835971,-113.2131441
300,32.29317955,-112.5555756
301,32.3985653,-111.896096
302,32.49973283,-111.2347725
303,32.5966614,-110.571674
304,32.6893311,-109.9068702
305,32.77772288,-109.2404321
306,32.86181849,-108.5724317
307,32.94160055,-107.9029423
308,33.01705255,-107.232038
309,33.08815884,-106.5597941
310,33.15490462,-105.8862865
311,33.21727602,-105.2115924
312,33.27526003,-104.5357895
313,33.32884453,-103.8589566
314,33.37801834,-103.1811729
315,33.42277116,-102.5025184
316,33.4630936,-101.823074
317,33.49897722,-101.1429208
318,33.53041447,-100.4621406
319,33.55739876,-99.7808156
320,33.57992441,-99.09902841
321,33.59798667,-98.41686201
322,33.61158175,-97.73439961
323,33.62070679,-97.05172467
324,33.62535986,-96.36892079
325,33.62553998,-95.68607167
326,33.62124711,-95.00326105
327,33.61248217,-94.32057263
328,33.59924698,-93.63809002
329,33.58154435,-92.95589669
330,33.559378,-92.27407589
331,33.53275259,-91.5927106
332,33.50167373,-90.91188346
333,33.46614793,-90.23167673
334,33.42618266,-89.55217221
335,33.38178631,-88.87345118
336,33.33296818,-88.19559437
337,33.27973848,-87.51868188
338,33.22210835,-86.84279314
339,33.16008982,-86.16800683
340,33.09369582,-85.49440087
341,33.02294017,-84.82205231
342,32.94783759,-84.15103735
343,32.86840364,-83.48143124
344,32.78465479,-82.81330825
345,32.69660834,-82.14674162
346,32.60428246,-81.48180354
347,32.50769615,-80.81856508
348,32.50854073,-114.664061
349,32.62749558,-114.0058016
350,32.74226327,-113.3454541
351,32.85282038,-112.6830845
352,32.95914428,-112.0187603
353,33.06121313,-111.3525504
354,33.15900594,-110.6845247
355,33.25250255,-110.0147546
356,33.34168362,-109.3433125
357,33.42653069,-108.670272
358,33.50702614,-107.995708
