GEO_ID	REGION	DIVISION	STATEFP	STATENS	STUSPS	NAME	LAT	LON	"LAT,LON"	ADDRESS	STREET	CITY	COUNTRY
1518	2	3	55	1779806	WI	Wisconsin	44.457209	-91.623855	"44.457209,-91.623855"	"Hayes Rd,Mondovi,WI 54755,USA"	Hayes Rd	Mondovi	USA
1519	2	3	55	1779806	WI	Wisconsin	44.425796	-90.82406	"44.425796,-90.82406"	"State Highway 27,Merrillan,WI 54754,USA"	State Highway 27	Merrillan	USA
1520	2	3	55	1779806	WI	Wisconsin	44.38913	-90.025136	"44.38913,-90.025136"	"Unnamed Rd,Wisconsin Rapids,WI 54495,USA"	Unnamed Rd	Wisconsin Rapids	USA
1521	2	3	55	1779806	WI	Wisconsin	44.34722	-89.227215	"44.34722,-89.227215"	"11138 Badger Dr,Waupaca,WI 54981,USA"	11138 Badger Dr	Waupaca	USA
1522	2	3	55	1779806	WI	Wisconsin	44.300076	-88.430429	"44.300076,-88.430429"	"3808 N Gillett St,Appleton,WI 54913,USA"	3808 N Gillett St	Appleton	USA
1523	2	3	55	1779806	WI	Wisconsin	44.247709	-87.634908	"44.247709,-87.634908"	"849 Oak St,Mishicot,WI 54228,USA"	849 Oak St	Mishicot	USA
1524	2	3	26	1779789	MI	Michigan	44.190131	-86.840781	"44.190131,-86.840781"	"Manistee,MI,USA"		Manistee	USA
1525	2	3	26	1779789	MI	Michigan	44.127355	-86.048175	"44.127355,-86.048175"	"Frd 5430,Manistee National Forest,Irons,MI 49644,USA"	Frd 5430Manistee National Forest	Irons	USA
1526	2	3	26	1779789	MI	Michigan	44.059396	-85.257218	"44.059396,-85.257218"	"8400-8998 17 Mile Rd,Marion,MI 49665,USA"	8400-8998 17 Mile Rd	Marion	USA
1527	2	3	26	1779789	MI	Michigan	43.986269	-84.468033	"43.986269,-84.468033"	"2545-2739 Weber Rd,Gladwin,MI 48624,USA"	2545-2739 Weber Rd	Gladwin	USA
1528	2	3	26	1779789	MI	Michigan	43.907992	-83.680744	"43.907992,-83.680744"	"3243 N Rumsey Rd,Au Gres,MI 48703,USA"	3243 N Rumsey Rd	Au Gres	USA
1529	2	3	26	1779789	MI	Michigan	43.824582	-82.895471	"43.824582,-82.895471"	"3000-3214 Learman Rd,Bad Axe,MI 48413,USA"	3000-3214 Learman Rd	Bad Axe	USA
1530	1	2	36	1779796	NY	New York	43.331251	-79.00345	"43.331251,-79.00345"	"1011 Lake Rd,Youngstown,NY 14174,USA"	1011 Lake Rd	Youngstown	USA
1531	1	2	36	1779796	NY	New York	43.217486	-78.232703	"43.217486,-78.232703"	"13800 W County House Rd,Albion,NY 14411,USA"	13800 W County House Rd	Albion	USA
1532	1	2	36	1779796	NY	New York	43.098746	-77.464761	"43.098746,-77.464761"	"15 Terrace Dr,Fairport,NY 14450,USA"	15 Terrace Dr	Fairport	USA
1533	1	2	36	1779796	NY	New York	42.975056	-76.699726	"42.975056,-76.699726"	"7402 Laraway Rd,Port Byron,NY 13140,USA"	7402 Laraway Rd	Port Byron	USA
1534	1	2	36	1779796	NY	New York	42.846446	-75.9377	"42.846446,-75.9377"	"1757 Waters Rd,Fabius,NY 13063,USA"	1757 Waters Rd	Fabius	USA
1535	1	2	36	1779796	NY	New York	42.712943	-75.178781	"42.712943,-75.178781"	"2414-2418 State Highway 80,Burlington Flats,NY 13315,USA"	2414-2418 State Highway 80	Burlington Flats	USA
1536	1	2	36	1779796	NY	New York	42.574577	-74.423063	"42.574577,-74.423063"	"Pleasant Valley Rd,Middleburgh,NY 12122,USA"	Pleasant Valley Rd	Middleburgh	USA
1537	1	2	36	1779796	NY	New York	42.43138	-73.670639	"42.43138,-73.670639"	"76 Dogwood Knolls,Valatie,NY 12184,USA"	76 Dogwood Knolls	Valatie	USA
1538	1	1	25	606926	MA	Massachusetts	42.283381	-72.921599	"42.283381,-72.921599"	"210-334 Skyline Trail,Chester,MA 01011,USA"	210-334 Skyline Trail	Chester	USA
1539	1	1	25	606926	MA	Massachusetts	42.130616	-72.17603	"42.130616,-72.17603"	"128-142 E Hill Rd,Brimfield,MA 01010,USA"	128-142 E Hill Rd	Brimfield	USA
1540	1	1	44	1219835	RI	Rhode Island	41.973115	-71.434016	"41.973115,-71.434016"	"128 Pound Rd,Cumberland,RI 02864,USA"	128 Pound Rd	Cumberland	USA
1541	1	1	25	606926	MA	Massachusetts	41.810915	-70.695639	"41.810915,-70.695639"	"S Carver Rd,Wareham,MA 02571,USA"	S Carver Rd	Wareham	USA
1542	1	1	25	606926	MA	Massachusetts	41.64405	-69.960976	"41.64405,-69.960976"	"97 Tilipi Run St,Chatham,MA 02633,USA"	97 Tilipi Run St	Chatham	USA
1543	4	9	6	1779778	CA	California	41.828493	-123.794214	"41.828493,-123.794214"	"Forest Route 17N29,Six Rivers National Forest,Gasquet,CA 95543,USA"	Forest Route 17N29Six Rivers National Forest	Gasquet	USA
1544	4	9	41	1155107	OR	Oregon	42.006395	-123.062058	"42.006395,-123.062058"	"1050 Rd,Rogue River National Forest,Klamath River,CA 96050,USA"	1050 RdRogue River National Forest	Klamath River	USA
1545	4	9	41	1155107	OR	Oregon	42.179673	-122.325938	"42.179673,-122.325938"	"Jenny Creek Rd,Ashland,OR 97520,USA"	Jenny Creek Rd	Ashland	USA
1546	4	9	41	1155107	OR	Oregon	42.34829	-121.585927	"42.34829,-121.585927"	"Unnamed Rd,Dairy,OR 97625,USA"	Unnamed Rd	Dairy	USA
1547	4	9	41	1155107	OR	Oregon	42.512209	-120.842102	"42.512209,-120.842102"	"National Forest Development Road 3372,Fremont National Forest,OR,USA"	National Forest Development Road 3372	Fremont National Forest	USA
1548	4	9	41	1155107	OR	Oregon	42.671394	-120.094543	"42.671394,-120.094543"	"Unnamed Rd,LAKEVIEW,OR 97630,USA"	Unnamed Rd	LAKEVIEW	USA
1549	4	9	41	1155107	OR	Oregon	42.825811	-119.343332	"42.825811,-119.343332"	"Unnamed Rd,Frenchglen,OR 97736,USA"	Unnamed Rd	Frenchglen	USA
1550	4	9	41	1155107	OR	Oregon	42.975425	-118.588555	"42.975425,-118.588555"	"Unnamed Rd,Diamond,OR 97722,USA"	Unnamed Rd	Diamond	USA
1551	4	9	41	1155107	OR	Oregon	43.120203	-117.830299	"43.120203,-117.830299"	"Unnamed Rd,Harper,OR 97906,USA"	Unnamed Rd	Harper	USA
1552	4	9	41	1155107	OR	Oregon	43.260113	-117.068657	"43.260113,-117.068657"	"840 Rock Creek Rd,Jordan Valley,OR 97910,USA"	840 Rock Creek Rd	Jordan Valley	USA
1553	4	8	16	1779783	ID	Idaho	43.395124	-116.303722	"43.395124,-116.303722"	"Unnamed Rd,Kuna,ID 83634,USA"	Unnamed Rd	Kuna	USA
1554	4	8	16	1779783	ID	Idaho	43.525206	-115.535592	"43.525206,-115.535592"	"Unnamed Rd,Boise National Forest,Mountain Home,ID 83647,USA"	Unnamed RdBoise National Forest	Mountain Home	USA
1555	4	8	16	1779783	ID	Idaho	43.65033	-114.764366	"43.65033,-114.764366"	"National Forest Development Road 227,Sawtooth National Forest,Ketchum,ID 83340,USA"	National Forest Development Road 227Sawtooth National Forest	Ketchum	USA
1556	4	8	16	1779783	ID	Idaho	43.770467	-113.990148	"43.770467,-113.990148"	"Unnamed Rd,Salmon - Challis National Forest,Mackay,ID 83251,USA"	Unnamed RdSalmon - Challis National Forest	Mackay	USA
1557	4	8	16	1779783	ID	Idaho	43.88559	-113.213041	"43.88559,-113.213041"	"Unnamed Rd,Howe,ID 83244,USA"	Unnamed Rd	Howe	USA
1558	4	8	16	1779783	ID	Idaho	43.995674	-112.433155	"43.995674,-112.433155"	"Unnamed Rd,Monteview,ID 83435,USA"	Unnamed Rd	Monteview	USA
1559	4	8	16	1779783	ID	Idaho	44.100692	-111.6506	"44.100692,-111.6506"	"Unnamed Rd,St Anthony,ID 83445,USA"	Unnamed Rd	St Anthony	USA
1560	4	8	56	1779807	WY	Wyoming	44.200621	-110.865488	"44.200621,-110.865488"	"S Entrance Rd,Yellowstone National Park,Moran,WY 83013,USA"	S Entrance RdYellowstone National Park	Moran	USA
1561	4	8	56	1779807	WY	Wyoming	44.295439	-110.077935	"44.295439,-110.077935"	"Continental Divide Trail,Yellowstone National Park,WY 82190,USA"	Continental Divide Trail	Yellowstone National Park	USA
1562	4	8	56	1779807	WY	Wyoming	44.385123	-109.288059	"44.385123,-109.288059"	"45-57 Davis Draw,Cody,WY 82414,USA"	45-57 Davis Draw	Cody	USA
1563	4	8	56	1779807	WY	Wyoming	44.469652	-108.495979	"44.469652,-108.495979"	"U.S. Route 14 in Illinois,Burlington,WY 82411,USA"	U.S. Route 14 in Illinois	Burlington	USA
1564	4	8	56	1779807	WY	Wyoming	44.549008	-107.701818	"44.549008,-107.701818"	"1862 Us Highway 14 E,Shell,WY 82441,USA"	1862 Us Highway 14 E	Shell	USA
1565	4	8	56	1779807	WY	Wyoming	44.623171	-106.9057	"44.623171,-106.9057"	"114 Burns Rd,Sheridan,WY 82801,USA"	114 Burns Rd	Sheridan	USA
1566	4	8	56	1779807	WY	Wyoming	44.692126	-106.107749	"44.692126,-106.107749"	"U.S. Route 14 in Illinois,Arvada,WY 82831,USA"	U.S. Route 14 in Illinois	Arvada	USA
1567	4	8	56	1779807	WY	Wyoming	44.755855	-105.308095	"44.755855,-105.308095"	"1207-1337 Rocky Point Rd,Thunder Basin National Grassland,Weston,WY 82731,USA"	1207-1337 Rocky Point RdThunder Basin National Grassland	Weston	USA
1568	4	8	56	1779807	WY	Wyoming	44.814343	-104.506867	"44.814343,-104.506867"	"Deer Creek Rd,Hulett,WY 82720,USA"	Deer Creek Rd	Hulett	USA
1569	2	4	46	1785534	SD	South Dakota	44.867578	-103.704195	"44.867578,-103.704195"	"Brooker Rd,Belle Fourche,SD 57717,USA"	Brooker Rd	Belle Fourche	USA
1570	2	4	46	1785534	SD	South Dakota	44.915546	-102.900212	"44.915546,-102.900212"	"Old 212,Mud Butte,SD 57758,USA"	Old 212	Mud Butte	USA
1571	2	4	46	1785534	SD	South Dakota	44.958237	-102.095052	"44.958237,-102.095052"	"196th Pl,Faith,SD 57626,USA"	196th Pl	Faith	USA
1572	2	4	46	1785534	SD	South Dakota	44.995641	-101.28885	"44.995641,-101.28885"	"Unnamed Rd,Eagle Butte,SD 57625,USA"	Unnamed Rd	Eagle Butte	USA
1573	2	4	46	1785534	SD	South Dakota	45.027748	-100.481741	"45.027748,-100.481741"	"BIA Highway 8,Eagle Butte,SD 57625,USA"	BIA Highway 8	Eagle Butte	USA
1574	2	4	46	1785534	SD	South Dakota	45.054551	-99.673864	"45.054551,-99.673864"	"State Highway 47,Lebanon,SD 57455,USA"	State Highway 47	Lebanon	USA
1575	2	4	46	1785534	SD	South Dakota	45.076044	-98.865355	"45.076044,-98.865355"	"Unnamed Rd,Northville,SD 57465,USA"	Unnamed Rd	Northville	USA
1576	2	4	46	1785534	SD	South Dakota	45.092222	-98.056352	"45.092222,-98.056352"	"158th St,Turton,SD 57477,USA"	158th St	Turton	USA
1577	2	4	46	1785534	SD	South Dakota	45.103081	-97.246996	"45.103081,-97.246996"	"15722-15798 448th Ave,Florence,SD 57235,USA"	15722-15798 448th Ave	Florence	USA
1578	2	4	27	662849	MN	Minnesota	45.108618	-96.437425	"45.108618,-96.437425"	"County Highway 44,Bellingham,MN 56212,USA"	County Highway 44	Bellingham	USA
1579	2	4	27	662849	MN	Minnesota	45.108832	-95.627778	"45.108832,-95.627778"	"1001-1999 60th St NW,Montevideo,MN 56265,USA"	1001-1999 60th St NW	Montevideo	USA
1580	2	4	27	662849	MN	Minnesota	45.103724	-94.818196	"45.103724,-94.818196"	"1500-2804 172nd St SE,Atwater,MN 56209,USA"	1500-2804 172nd St SE	Atwater	USA
1581	2	4	27	662849	MN	Minnesota	45.093293	-94.008817	"45.093293,-94.008817"	"5787-5791 40th St SW,Waverly,MN 55390,USA"	5787-5791 40th St SW	Waverly	USA
1582	2	4	27	662849	MN	Minnesota	45.077544	-93.199781	"45.077544,-93.199781"	"1748 14th Ave NW,New Brighton,MN 55112,USA"	1748 14th Ave NW	New Brighton	USA
1583	2	3	55	1779806	WI	Wisconsin	45.056479	-92.391227	"45.056479,-92.391227"	"1325 200th St,Baldwin,WI 54002,USA"	1325 200th St	Baldwin	USA
1584	2	3	55	1779806	WI	Wisconsin	45.030103	-91.583293	"45.030103,-91.583293"	"4259-4505 Hyline Rd,Colfax,WI 54730,USA"	4259-4505 Hyline Rd	Colfax	USA
1585	2	3	55	1779806	WI	Wisconsin	44.998423	-90.776118	"44.998423,-90.776118"	"Bruce Mound Ave,Thorp,WI 54771,USA"	Bruce Mound Ave	Thorp	USA
1586	2	3	55	1779806	WI	Wisconsin	44.961446	-89.969837	"44.961446,-89.969837"	"Emerald Ln,Edgar,WI 54426,USA"	Emerald Ln	Edgar	USA
1587	2	3	55	1779806	WI	Wisconsin	44.91918	-89.164589	"44.91918,-89.164589"	"Ranch Rd,Birnamwood,WI 54414,USA"	Ranch Rd	Birnamwood	USA
1588	2	3	55	1779806	WI	Wisconsin	44.871636	-88.360506	"44.871636,-88.360506"	"11867-12099 County Highway P,Cecil,WI 54111,USA"	11867-12099 County Highway P	Cecil	USA
1589	2	3	55	1779806	WI	Wisconsin	44.818825	-87.557723	"44.818825,-87.557723"	"3086 Pine Ln,Brussels,WI 54204,USA"	3086 Pine Ln	Brussels	USA
1590	2	3	55	1779806	WI	Wisconsin	44.760759	-86.756374	"44.760759,-86.756374"	"Door,WI,USA"		Door	USA
1591	2	3	26	1779789	MI	Michigan	44.697452	-85.956588	"44.697452,-85.956588"	"N Haze Rd,Honor,MI 49640,USA"	N Haze Rd	Honor	USA
1592	2	3	26	1779789	MI	Michigan	44.628918	-85.158496	"44.628918,-85.158496"	"5710-6000 Kerbyson Dr SE,Kalkaska,MI 49646,USA"	5710-6000 Kerbyson Dr SE	Kalkaska	USA
1593	2	3	26	1779789	MI	Michigan	44.555173	-84.362225	"44.555173,-84.362225"	"5698 Ridge Rd,Huron National Forest,Luzerne,MI 48636,USA"	5698 Ridge RdHuron National Forest	Luzerne	USA
1594	2	3	26	1779789	MI	Michigan	44.476235	-83.567902	"44.476235,-83.567902"	"1484-1626 Bissonette,Huron National Forest,Oscoda,MI 48750,USA"	1484-1626 BissonetteHuron National Forest	Oscoda	USA
1595	2	3	26	1779789	MI	Michigan	44.392121	-82.77565	"44.392121,-82.77565"	"Iosco,MI,USA"		Iosco	USA
1596	1	2	36	1779796	NY	New York	43.535467	-76.526404	"43.535467,-76.526404"	"104 Upcraft Beach Rd,Oswego,NY 13126,USA"	104 Upcraft Beach Rd	Oswego	USA
1597	1	2	36	1779796	NY	New York	43.405783	-75.758021	"43.405783,-75.758021"	"McSpirit Rd,Camden,NY 13316,USA"	McSpirit Rd	Camden	USA
1598	1	2	36	1779796	NY	New York	43.271168	-74.992825	"43.271168,-74.992825"	"1439 State Route 8,Cold Brook,NY 13324,USA"	1439 State Route 8	Cold Brook	USA
1599	1	2	36	1779796	NY	New York	43.131651	-74.230914	"43.131651,-74.230914"	"432 Paradise Point Road Ext,Mayfield,NY 12117,USA"	432 Paradise Point Road Ext	Mayfield	USA
1600	1	2	36	1779796	NY	New York	42.987264	-73.472382	"42.987264,-73.472382"	"516 Center Cambridge Rd,Cambridge,NY 12816,USA"	516 Center Cambridge Rd	Cambridge	USA
1601	1	1	50	1779802	VT	Vermont	42.838038	-72.717321	"42.838038,-72.717321"	"1843 S Rd,Brattleboro,VT 05301,USA"	1843 S Rd	Brattleboro	USA
1602	1	1	25	606926	MA	Massachusetts	42.684007	-71.96582	"42.684007,-71.96582"	"152 Dunn Rd,Ashburnham,MA 01430,USA"	152 Dunn Rd	Ashburnham	USA
1603	1	1	25	606926	MA	Massachusetts	42.525205	-71.217964	"42.525205,-71.217964"	"6 Crystal St,Billerica,MA 01821,USA"	6 Crystal St	Billerica	USA
1604	4	9	41	1155107	OR	Oregon	42.374277	-124.03718	"42.374277,-124.03718"	"National Forest Development Road 420,Rogue River National Forest,OR,USA"	National Forest Development Road 420	Rogue River National Forest	USA
1605	4	9	41	1155107	OR	Oregon	42.553634	-123.299492	"42.553634,-123.299492"	"BLM Rd,Grants Pass,OR 97526,USA"	BLM Rd	Grants Pass	USA
1606	4	9	41	1155107	OR	Oregon	42.728332	-122.557742	"42.728332,-122.557742"	"42065 Hwy 62,Prospect,OR 97536,USA"	42065 Hwy 62	Prospect	USA
1607	4	9	41	1155107	OR	Oregon	42.898333	-121.812004	"42.898333,-121.812004"	"840 Doran Dr,Chiloquin,OR 97624,USA"	840 Doran Dr	Chiloquin	USA
1608	4	9	41	1155107	OR	Oregon	43.0636	-121.062356	"43.0636,-121.062356"	"Unnamed Rd,Silver Lake,OR 97638,USA"	Unnamed Rd	Silver Lake	USA
1609	4	9	41	1155107	OR	Oregon	43.224096	-120.30888	"43.224096,-120.30888"	"Christmas Valley Wagontire Rd,Christmas Valley,OR 97641,USA"	Christmas Valley Wagontire Rd	Christmas Valley	USA
1610	4	9	41	1155107	OR	Oregon	43.379787	-119.551658	"43.379787,-119.551658"	"Big Stick Rd,Riley,OR 97758,USA"	Big Stick Rd	Riley	USA
1611	4	9	41	1155107	OR	Oregon	43.530638	-118.790778	"43.530638,-118.790778"	"Ln 14,Burns,OR 97720,USA"	Ln 14	Burns	USA
1612	4	9	41	1155107	OR	Oregon	43.676615	-118.02633	"43.676615,-118.02633"	"Unnamed Rd,Juntura,OR 97911,USA"	Unnamed Rd	Juntura	USA
1613	4	9	41	1155107	OR	Oregon	43.817685	-117.258407	"43.817685,-117.258407"	"Chalk Butte Rd,Nyssa,OR 97913,USA"	Chalk Butte Rd	Nyssa	USA
1614	4	8	16	1779783	ID	Idaho	43.953818	-116.487106	"43.953818,-116.487106"	"5237-5853 Van Deusen Rd,Emmett,ID 83617,USA"	5237-5853 Van Deusen Rd	Emmett	USA
1615	4	8	16	1779783	ID	Idaho	44.084982	-115.712525	"44.084982,-115.712525"	"Banks Lowman Rd,Boise National Forest,Lowman,ID 83637,USA"	Banks Lowman RdBoise National Forest	Lowman	USA
1616	4	8	16	1779783	ID	Idaho	44.211148	-114.934767	"44.211148,-114.934767"	"Airport Rd,Salmon - Challis National Forest,Stanley Airport,Stanley,ID 83278,USA"	Airport RdSalmon - Challis National ForestStanley Airport	Stanley	USA
1617	4	8	16	1779783	ID	Idaho	44.332288	-114.153936	"44.332288,-114.153936"	"Unnamed Rd,Challis,ID 83226,USA"	Unnamed Rd	Challis	USA
1618	4	8	16	1779783	ID	Idaho	44.448373	-113.37014	"44.448373,-113.37014"	"National Forest Development Road 101,Salmon - Challis National Forest,Leadore,ID 83464,USA"	National Forest Development Road 101Salmon - Challis National Forest	Leadore	USA
1619	4	8	30	767982	MT	Montana	44.559377	-112.58349	"44.559377,-112.58349"	"Willow Creek Rd,Lima,Mt 59739,USA"	Willow Creek Rd	Lima	USA
